epoch,train_loss,train_acc,val_loss,val_acc,top1,top5,spike_rate,spike_rate_layer_1,spike_rate_layer_2,spike_rate_layer_3,spike_rate_layer_4,spike_rate_layer_5,spike_rate_layer_6,spike_rate_layer_7,spike_rate_layer_8,avg_spike_rate
11,2.7203920544775024,0.3361223312175418,2.253673955931792,0.4524479459763647,0.4524479459763647,0.6921778277996623,"[0.027449782727463297, 0.045141827462194015, 0.03515283622384817, 0.04391719549722463, 0.03676266433733421, 0.041774586533588495, 0.03675332664747605, 0.1750619201244168]",0.027449782727463297,0.045141827462194015,0.03515283622384817,0.04391719549722463,0.03676266433733421,0.041774586533588495,0.03675332664747605,0.1750619201244168,0.05525176744419321
12,2.646963555095105,0.34838430467397574,2.2431514278521987,0.4395047833427124,0.4395047833427124,0.687113111986494,"[0.027457573706502137, 0.04530062422572515, 0.03408025242027639, 0.04248601989602688, 0.03492185085131703, 0.03998221628693676, 0.03437978382849906, 0.1799814019302019]",0.027457573706502137,0.04530062422572515,0.03408025242027639,0.04248601989602688,0.03492185085131703,0.03998221628693676,0.03437978382849906,0.1799814019302019,0.05482371539318566
13,2.483328318238396,0.38531448355452974,2.0357116854085584,0.5047833427124367,0.5047833427124367,0.7343837929093978,"[0.02978910169870728, 0.046709972315919474, 0.034032662425843206, 0.0430555770191553, 0.03431616070994601, 0.039094164981890646, 0.033546890120659464, 0.18571397313451338]",0.02978910169870728,0.046709972315919474,0.034032662425843206,0.0430555770191553,0.03431616070994601,0.039094164981890646,0.033546890120659464,0.18571397313451338,0.05578231280082935
14,2.4283640021683848,0.3993075591459896,2.038112495295002,0.5047833427124367,0.5047833427124367,0.7225661226786719,"[0.0302061530258294, 0.04698037731589947, 0.03354641391849152, 0.04227483061068918, 0.03311433302327447, 0.03742083140143871, 0.031785785378656756, 0.18983259347912484]",0.0302061530258294,0.04698037731589947,0.03354641391849152,0.04227483061068918,0.03311433302327447,0.03742083140143871,0.031785785378656756,0.18983259347912484,0.05564516476917554
15,2.326029916673108,0.41878245816503173,1.9429428346638855,0.5064715813168261,0.5064715813168261,0.7484524479459763,"[0.030965771341492882, 0.04827272236998521, 0.03370759460170231, 0.04279637009436803, 0.03265944722589486, 0.03692811204162898, 0.030779640656674885, 0.19445618770151754]",0.030965771341492882,0.04827272236998521,0.03370759460170231,0.04279637009436803,0.03265944722589486,0.03692811204162898,0.030779640656674885,0.19445618770151754,0.05632073075415808
16,2.202042477903619,0.4459030582804385,1.8680603686185562,0.526167698368036,0.526167698368036,0.7630838491840181,"[0.03205473114160991, 0.04938407975973786, 0.033063334222748174, 0.042143246875700896, 0.03180492986573949, 0.03556691478030471, 0.02960108952713767, 0.19841292875773298]",0.03205473114160991,0.04938407975973786,0.033063334222748174,0.042143246875700896,0.03180492986573949,0.03556691478030471,0.02960108952713767,0.19841292875773298,0.056503906866338965
17,2.100866970031457,0.4720138488170802,1.8743712189335862,0.5498030388294879,0.5498030388294879,0.7675858187957231,"[0.03325039662291844, 0.04912035458033638, 0.033085986246776077, 0.04142977927826906, 0.031164575868574376, 0.034332671795949336, 0.028789016421240946, 0.2012397616410646]",0.03325039662291844,0.04912035458033638,0.033085986246776077,0.04142977927826906,0.031164575868574376,0.034332671795949336,0.028789016421240946,0.2012397616410646,0.05655156780689115
18,2.0636521573710196,0.47677437968840164,1.749543731982064,0.5700619020821609,0.5700619020821609,0.7839054586381542,"[0.03556576113220345, 0.05048599928763384, 0.031995573951258086, 0.04098352723995712, 0.030436778509030617, 0.03291413096962272, 0.027961308280414446, 0.20426096036189062]",0.03556576113220345,0.05048599928763384,0.031995573951258086,0.04098352723995712,0.030436778509030617,0.03291413096962272,0.027961308280414446,0.20426096036189062,0.056825504966501364
19,1.9654042643796752,0.5057703404500865,1.6437530904745208,0.5959482273494654,0.5959482273494654,0.7979741136747327,"[0.03706795174911863, 0.051052775706509124, 0.03181634993151669, 0.040839664156614434, 0.02979643884747943, 0.03172540274883345, 0.027321570927975693, 0.20811322465845714]",0.03706795174911863,0.051052775706509124,0.03181634993151669,0.040839664156614434,0.02979643884747943,0.03172540274883345,0.027321570927975693,0.20811322465845714,0.05721667234081307
20,1.8664687100578756,0.525533756491633,1.6935497626470144,0.5869442881260551,0.5869442881260551,0.7945976364659538,"[0.03695953788661182, 0.051236815238162994, 0.03170957765893324, 0.04056154277351259, 0.029236314966954387, 0.030666522465750183, 0.02674115878317127, 0.211597971087388]",0.03695953788661182,0.051236815238162994,0.03170957765893324,0.04056154277351259,0.029236314966954387,0.030666522465750183,0.02674115878317127,0.211597971087388,0.05733868010756056
