epoch,train_loss,train_acc,val_loss,val_acc,top1,top5,firing_rate_layer_1,firing_rate_layer_2,firing_rate_layer_3,firing_rate_layer_4,firing_rate_layer_5,firing_rate_layer_6,firing_rate_layer_7,firing_rate_layer_8,avg_firing_rate
11,3.3281864223458224,0.21710905943450665,2.84502255448846,0.3353967360720315,0.3353967360720315,0.586381541924592,0.01499408048937505,0.027764926150198644,0.027844800444006595,0.036028060830302994,0.03801336059591645,0.03544482518299073,0.034415651193214616,0.13449998914589242,0.04362571175398719
12,3.262879086750739,0.24134448932487015,2.6347256925608544,0.4012380416432189,0.4012380416432189,0.6268992684299382,0.015496031497217278,0.028998716209744403,0.02750972528427901,0.036391062010571545,0.03708432086940447,0.03447756641109681,0.033685787030665666,0.13874520729707313,0.044048552076256534
13,3.1578914989924622,0.25692440854010384,2.6046278437958703,0.40630275745638716,0.40630275745638716,0.6415306696679798,0.015497757898604712,0.029027954763826115,0.02761233877061172,0.03683196412671144,0.03668503959052846,0.03401100348819623,0.03353616093760922,0.14375883483406732,0.044620131801269405
14,3.0777175357735005,0.26139642238892097,2.646894810980211,0.3562183455261677,0.3562183455261677,0.6252110298255487,0.01588834503485404,0.030561885304613734,0.028402511224482285,0.03714225124835135,0.036178527407509355,0.03361318849516469,0.03317997656741507,0.14793317173683188,0.045362482127402806
15,3.0211908589047405,0.27928447778418924,2.495797245224495,0.42318514350028136,0.42318514350028136,0.6651660101294317,0.016405999617409767,0.031341045440422224,0.028830457523848982,0.03715105268005893,0.03571980977732556,0.03291925714623525,0.03274683623240412,0.1514571113929083,0.04582144622632665
16,2.9161239500826754,0.30885747259088286,2.447374972059588,0.4293753517163759,0.4293753517163759,0.6679797411367473,0.01663248379821529,0.031048761074716862,0.02954908789921876,0.03792640002326161,0.035094058437560055,0.032313075284773556,0.03258144096403038,0.15529885249554354,0.04630551999716501
17,2.884244784626856,0.3131852279284478,2.3591737025521797,0.47214406302757456,0.47214406302757456,0.6961170512099043,0.017308337881572326,0.03235618429718872,0.029495578644464986,0.0380692700448746,0.034858735153765134,0.031648109811758376,0.032256051369829376,0.15919656973334123,0.04689860461709935
18,2.8255243884375902,0.33597807270628965,2.351062755112958,0.44119302194710186,0.44119302194710186,0.6764209341586944,0.018208191598483758,0.03311574147079516,0.029785014744596112,0.038274802472306343,0.03425978083099043,0.030875130991672273,0.031694989743892205,0.16189191841370038,0.04726319628330458
19,2.7584354264238438,0.3480957876514714,2.2351798698506546,0.47158131682611143,0.47158131682611143,0.7208778840742825,0.020764900874671928,0.03455831937469296,0.0297222217841896,0.038248076807231,0.03347998965036937,0.030039371142354557,0.03129329491934925,0.165414419900508,0.047940074306670834
20,2.69170385798506,0.3534333525678015,2.1603049864416164,0.4879009566685425,0.4879009566685425,0.7265053460889139,0.021851522769395917,0.03612912460927487,0.029059570375076112,0.03787792591207573,0.0331126238853036,0.029564570446640404,0.030895840193948556,0.16824632963911407,0.04834218847885366
