epoch,train_loss,train_acc,val_loss,val_acc,top1,top5,firing_rate_layer_1,firing_rate_layer_2,firing_rate_layer_3,firing_rate_layer_4,firing_rate_layer_5,firing_rate_layer_6,firing_rate_layer_7,firing_rate_layer_8,firing_rate_layer_9,firing_rate_layer_10,firing_rate_layer_11,firing_rate_layer_12,firing_rate_layer_13,firing_rate_layer_14,firing_rate_layer_15,firing_rate_layer_16,firing_rate_layer_17,avg_firing_rate
12,2.665016701202217,0.3527120600115407,2.435806271674387,0.44400675295441755,0.44400675295441755,0.6584130557118739,0.14948313522778853,0.14694177389969867,0.23573439658581882,0.15987154958432387,0.24355058219056108,0.1129132973694059,0.23674217527712896,0.09286603285229618,0.21354042974997794,0.05937828415955367,0.2147613487551644,0.05211245280511102,0.20908001126440087,0.017198237998812812,0.08532205328671846,0.007842057963968556,0.09397030030704832,0.13713577172222222
13,2.551298021032736,0.36497403346797463,2.4430205721424834,0.4501969611705121,0.4501969611705121,0.6679797411367473,0.145517696085823,0.14110317626213953,0.23350965572475982,0.15487617481676094,0.23584903229754167,0.1017429348506729,0.22867641567771396,0.08482022235962759,0.20712535972551224,0.05246107948417617,0.20802701059097245,0.046140134914798556,0.2043775954901003,0.014244532249653084,0.08461593759926124,0.0055982190652427,0.09417467145908806,0.13193293227375555
14,2.4229879269275423,0.3897864974033468,2.333884245812091,0.4727068092290377,0.4727068092290377,0.6961170512099043,0.1448905340610489,0.13463702968522615,0.2260776431557763,0.14967911591579333,0.23266019106186242,0.09512038185797206,0.22628465643666082,0.07813940281411495,0.2013145009209127,0.04684764444071806,0.2047033763564309,0.04217129343246232,0.2003272677622865,0.011975132855302053,0.08429771854528224,0.004254767957993167,0.09466153013939949,0.12812012867054368
15,2.3510097387615234,0.4161858049624928,2.239166721877028,0.4704558244231851,0.4704558244231851,0.7073719752391672,0.14103937675933667,0.1238841999388348,0.21733381414358427,0.13908068306030835,0.22515504822736515,0.0891407329510927,0.22138105150462567,0.072179671642827,0.19021157738796673,0.04134206254864509,0.20086030940283556,0.03799270876276171,0.19578639205351814,0.010231926905930111,0.08467481558160657,0.003323838565038842,0.09198469793370298,0.12268252396294001
16,2.2576624182543816,0.4356607039815349,2.244415012501481,0.473832301631964,0.473832301631964,0.7096229600450197,0.138551298381273,0.11767035374316924,0.2119988539914631,0.13529349355686618,0.22267793069111297,0.08323206830052213,0.2153300882843266,0.0662056541222878,0.19148120902126378,0.036745714673808945,0.19412472145230172,0.03403781494879805,0.19145827433092225,0.008583212195795716,0.08259448455141766,0.0026218311349413366,0.09285873562681896,0.11914504347100525
17,2.182902497403762,0.4499422965954991,2.1810123676542745,0.48733821046707937,0.48733821046707937,0.7304445694991559,0.13931434813942745,0.11805216242560333,0.21340295049145983,0.1268838311121677,0.21521434656338995,0.07659364990709558,0.2097133657154051,0.06187512570461458,0.18583681308961927,0.03312611712991436,0.1907854162477977,0.03105989467176463,0.1888212464892465,0.00721410212357289,0.08221829644261491,0.002203852775600128,0.0924284564307544,0.11616141032117933
18,2.137992719809214,0.4710040392383151,2.325554323336736,0.4710185706246483,0.4710185706246483,0.6961170512099043,0.13798152640891598,0.11624483213017704,0.21334227788544569,0.12034215262741915,0.2075552140030207,0.07097185434079646,0.20923041223792216,0.055972612506378076,0.17872357334370118,0.03031700455468698,0.18653829906776015,0.028443301419760765,0.18499263574232816,0.006076661388216823,0.08176475023315853,0.0019690611948191493,0.091790670375098,0.11307393173291794
19,2.0900861149290715,0.4728793998845932,2.3038058811840454,0.4575126617895329,0.4575126617895329,0.7084974676420934,0.13460368795515898,0.10908819650696223,0.2058036411289802,0.11602662680470825,0.20411026897452422,0.06770917247873413,0.20291122102132458,0.05099846090824962,0.1729020055135094,0.027293923101898137,0.18418410062514928,0.025913108112902816,0.18183910259876024,0.0052435377532360555,0.08032515326723234,0.0018000904334045218,0.09115960549043257,0.10952422956912751
20,1.9723747574746815,0.502596653202539,2.1641055630841564,0.48564997186268993,0.48564997186268993,0.7039954980303883,0.1314844657805553,0.1023447507640481,0.20039161302639139,0.11364033055552993,0.1975773233745887,0.06484032343828137,0.19820944221786987,0.04875280934634089,0.1710915303477778,0.025307935122937594,0.18094265287722658,0.023987120790052583,0.17885319055295462,0.004511795483933464,0.07867381974762566,0.0016558190228067307,0.09000147580825466,0.10660390577983382
21,1.892634293131075,0.5206289671090595,2.177069369878937,0.5149127743387732,0.5149127743387732,0.7242543612830613,0.12958793736934113,0.0997461199182953,0.2014558299767521,0.10731700429729378,0.19414266268412314,0.059548559221841914,0.19075558984705868,0.04544053954374146,0.16576955067107715,0.022762726692454924,0.17637732328703096,0.02217103181550794,0.17580227118187453,0.003783572327856919,0.0765843364359186,0.0015116135224339043,0.08928406571296953,0.10364945497091599
22,1.921766720566095,0.5210617426428159,2.39422074403831,0.46820483961733256,0.46820483961733256,0.702870005627462,0.12949890751602178,0.09180010025614002,0.19384772084026036,0.10086906261510103,0.18436009356444819,0.05601624045542514,0.19247016869339292,0.04073787332818583,0.160229284733087,0.020490776642796076,0.17205071415180698,0.020269288323742325,0.17167297336882006,0.0032865254579255874,0.07538776516501883,0.0013789182000781704,0.08916325631851156,0.10020762762533893
23,1.8279865102234458,0.5375072129255626,2.0965425191497253,0.5205402363534046,0.5205402363534046,0.7360720315137873,0.1302283145262159,0.08680379027176326,0.1885737675421515,0.09426472277789806,0.1779085241359548,0.05374584637986193,0.1875842189898814,0.035722707684614836,0.1568320500726932,0.019040606937606442,0.16988217953304657,0.0187242668090257,0.16774235176517607,0.0029668661467344326,0.07413522898532117,0.0013327360758181959,0.08972303705094456,0.09736536562851224
24,1.7823805492779512,0.5438545874206578,2.0698915266352516,0.5087225661226786,0.5087225661226786,0.7535171637591446,0.12691118799141404,0.08207015219031738,0.18389088010292984,0.09033020315423272,0.17353581080937208,0.05015402830183299,0.1835716687766738,0.034394204360803524,0.15437533903286935,0.01740231176286146,0.1670281315839826,0.017474850057318126,0.16333185836105585,0.0025429333397536447,0.07276820841682549,0.0012596419883296823,0.08922332895668318,0.09472145524630916
25,1.7764898666461033,0.5486151182919792,2.1328478309872976,0.5053460889138999,0.5053460889138999,0.7343837929093978,0.12395123443251534,0.07939897730826219,0.18061047676112835,0.08542890618004184,0.1658472445706871,0.04717448402853578,0.18050996773795694,0.03165584929399148,0.1520297456805131,0.015600311076902313,0.1625939299463539,0.016340023995545766,0.15822801517367768,0.0024218011699883328,0.07266193614286526,0.001253149699174822,0.08945490994392939,0.09206829194953352
26,1.7219362098727946,0.5510675129832661,2.3601848632598403,0.5014068655036579,0.5014068655036579,0.7163759144625774,0.12237212757475768,0.07745702353040779,0.17797011715318084,0.07902204748943462,0.15920845300131065,0.04473529388885312,0.17473407241574918,0.03023308660469806,0.14687957451280267,0.014912765089340833,0.15984727910095722,0.015243687437204907,0.1569936174174906,0.0021560839660714906,0.07134480574276761,0.0011651401893765317,0.08981056600568482,0.08965210241882875
27,1.6924274486791442,0.5662146566647432,2.328635440738412,0.4879009566685425,0.4879009566685425,0.7135621834552617,0.12061212547372639,0.07220096367040714,0.1762226654391525,0.07654633826725486,0.15530395594710153,0.04265011438723937,0.17134866833274337,0.028142012581830758,0.14661916061806143,0.013820678332547716,0.15802492777506502,0.014748131687115919,0.1539232319146566,0.0020503854366597275,0.07087893792914685,0.0011551330108818586,0.08941442346627854,0.08786246201587468
28,1.6754437638951558,0.5755914598961339,2.0958447180993254,0.5109735509285313,0.5109735509285313,0.7512661789532921,0.11724591662177028,0.06883252181258856,0.1676049471176484,0.07261924020971808,0.14826253051713809,0.039468228781237,0.1667521546923717,0.026213787391248997,0.14294543566588314,0.012779842891495103,0.15536776919953424,0.014164518600516682,0.15004298855826656,0.0019458314044252824,0.06945435899076714,0.001162260466930913,0.08951652843646937,0.0849634624328241
29,1.6206865258420353,0.5797749567224466,2.118091876530861,0.5149127743387732,0.5149127743387732,0.7473269555430501,0.11673017003544468,0.06281572288020386,0.159521775383163,0.06934171041952839,0.14517188148102544,0.03803386536436515,0.16241193533768689,0.023488412832856305,0.13880669212121308,0.011758530604660583,0.1524729107215465,0.013524100403747208,0.14848058601564193,0.001867824761237788,0.0692234364017896,0.001082295084494621,0.08970651707984718,0.08261402158402661
30,1.3899102572270057,0.6389209463358339,1.8187684215847486,0.5762521102982555,0.5762521102982555,0.7861564434440067,0.1151981077777199,0.05940867900298405,0.1582215608115014,0.0683620786721869,0.14431710420320334,0.03635252119898107,0.16113948338034528,0.021460084574170285,0.1370646349149041,0.011207951608413638,0.14990883599515595,0.013006110273843014,0.145823672205519,0.0017513229387716728,0.07040255131880989,0.0010361635588719618,0.09019178045112233,0.08146192016979434
31,1.2881049264604796,0.6706578188113098,1.8418257773891424,0.5633089476646033,0.5633089476646033,0.7889701744513224,0.11451044010043544,0.05817583997081857,0.15485584185335172,0.06611500532156869,0.14261109137617614,0.03508736228722877,0.16042399363534265,0.022110305266946764,0.13427701518884846,0.0110401483555566,0.14871207368140113,0.012554116210585522,0.14540162769568415,0.001761275646733302,0.07196173847202882,0.001039392807904412,0.09150295921950469,0.08071413100530093
32,1.2641925209190057,0.6731102135025967,1.8505427742067875,0.562183455261677,0.562183455261677,0.7912211592571751,0.11273018841374968,0.05643961436745752,0.15445085709207731,0.06255083540594154,0.14092820100443323,0.034826059594423836,0.1574375524817868,0.021293519051979716,0.13255645210767703,0.011085636926494806,0.14831165014528783,0.01265001853582081,0.1446265267060839,0.0017601139900181137,0.07256426695721377,0.00100841341821655,0.0928226299351885,0.07988485506669711
33,1.1795065487201102,0.7009521061742643,1.892594229688893,0.5678109172763084,0.5678109172763084,0.7816544738323016,0.11020652465204328,0.053949124458339305,0.1551821315769782,0.06060770006190806,0.13945143099062177,0.03299683112174165,0.15804131099784527,0.02095597512444271,0.13098370823755667,0.01054796735858147,0.14589472567196382,0.012184781445213944,0.14250913380201588,0.0018098459386770534,0.07291312986591698,0.0009919011909106463,0.09367666083911172,0.07899428725493343
34,1.1669170664152884,0.7016733987305251,1.8162186807710594,0.574563871693866,0.574563871693866,0.7979741136747327,0.10809810184139954,0.05209124538725218,0.1520336729487473,0.05764493710166996,0.13369663197826487,0.03265451723866534,0.1540026053150355,0.021205355656325756,0.1297289171845855,0.010465684250564308,0.14365721402283763,0.011752863469283337,0.14075112484730642,0.001822777014427671,0.0732429785106971,0.001006175022499233,0.09428653123057017,0.07753772547177246
35,1.1403643564506936,0.7026832083092902,1.853623427974787,0.5841305571187394,0.5841305571187394,0.7822172200337648,0.10739733206497055,0.05120632498322061,0.15063683211734685,0.05773599913925996,0.13354858163043828,0.03204045184618326,0.15216534472666804,0.02048806926370903,0.1273901462664929,0.010080813151604844,0.14247820047908716,0.011512523725921013,0.13962522104124706,0.001803922730196168,0.07392327094160565,0.001016119018695483,0.0952926426307828,0.0769612821033782
36,1.1023740858836433,0.721004039238315,1.9028517095697834,0.550365785030951,0.550365785030951,0.7867191896454699,0.10731957535705203,0.05231013741322733,0.15482855870511983,0.05599307790622024,0.13326382081538876,0.030617324296715882,0.15042577244143718,0.019947159997044668,0.1282700186644732,0.010028456761625278,0.1413545546482178,0.011313161574982999,0.13709309662639613,0.0018378316489882952,0.07371291163883405,0.0010082604783354073,0.09575906438948498,0.07676957549197318
37,1.0475969676706067,0.7263416041546451,1.8995837552280839,0.5672481710748453,0.5672481710748453,0.7765897580191333,0.10587007400486302,0.04849420606883753,0.1485255060118924,0.055678984665128134,0.13359604023732105,0.029528136071861805,0.14624260588913224,0.018962465350053154,0.1274887938977937,0.009699031341447135,0.13927102406819653,0.01120232926383014,0.13473324160812358,0.0018182033376022745,0.07469875832879969,0.001016870430459063,0.09627142179108555,0.07547633484508394
38,1.0574283351157088,0.7321119446047317,1.859453188712738,0.5779403489026449,0.5779403489026449,0.7799662352279122,0.10446069006826354,0.04833989554760501,0.14974857306122938,0.052246664480629555,0.1309614428021915,0.028006870221376656,0.14512805450333843,0.01867654419825289,0.12496759973457808,0.009409967618280076,0.137172504675842,0.011251098254422682,0.13380206683377774,0.0018151046770529214,0.07430733615826844,0.0009886955252430695,0.09636621767811847,0.07456760741402768
