epoch,train_loss,val_loss,train_acc,val_acc
1,1.5782489092261702,1.2489448700632368,21.922626025791324,52.33644859813084
2,1.035147371115508,0.5003938853208508,57.67878077373974,84.11214953271028
3,0.7874381354561558,0.41903156880289316,70.69167643610785,85.51401869158879
4,0.6947667997468401,0.459348284439849,76.43610785463072,86.44859813084112
5,0.5147794400928197,0.4932347888659154,83.5873388042204,88.3177570093458
6,0.38602437913693766,0.4716758094727993,85.93200468933178,89.25233644859813
7,0.352910576802161,0.5950381950741368,87.80773739742087,85.04672897196262
8,0.22116738790646195,0.5169985823865447,93.08323563892145,87.85046728971963
9,0.16292871173936874,0.5402817289577797,93.43493552168816,85.98130841121495
10,0.193021259960477,0.6020262289925346,92.73153575615474,84.57943925233644
11,0.17589730522767813,0.6675226875979986,94.60726846424384,84.11214953271028
12,0.14407360288142054,0.559147978584016,94.72450175849941,86.91588785046729
13,0.11795923638123053,0.7503840782280479,95.77960140679953,82.24299065420561
14,0.10571415146329889,0.7193977915615376,95.77960140679953,85.04672897196262
15,0.14048405894492236,0.6855135867205847,94.95896834701055,84.57943925233644
